overdriveNo,overdriveNoSrc,bibNo,sierraControlNo,sierraControlNoSrc,sierraFormat_int,sierra_status,overdriveControlNo,sierraFormat_ext,_merge
70F50B4F-E8D5-46F2-BF36-2C08E385C64D,,,,,,,ODN0000570953,z,right_only
9509F6F0-02CE-4ED2-872C-54AD2AF826B1,,,,,,,ODN0000656997,z,right_only
890BB712-9AD6-4219-92BF-0ADD0BDBB125,,,,,,,ODN0005116386,z,right_only
BACC921E-DE9E-4B70-B5E0-B6189E0A04A8,,,,,,,ODN0000566675,z,right_only
57B23AEC-4882-4506-89B4-E4C8CAC5A820,,,,,,,ODN0005243383,z,right_only
819D4A7F-0D47-48E5-A8A0-1368C29E4D89,,,,,,,ODN0000131560,z,right_only
BDC7A0A8-BB3E-408A-B9D6-39CA8A76FA13,,,,,,,ODN0005253297,z,right_only
4ACE9E8B-AB68-4AAD-88CC-3D205FE90856,,,,,,,ODN0005154880,z,right_only
1E8CFB83-F422-418E-89CC-56B4C15097FD,,,,,,,ODN0001323801,z,right_only
546895A6-5CBE-4091-99EC-6B12E2F6FEA4,,,,,,,ODN0000629824,z,right_only
3F24A88A-64CA-4F25-AF0E-770A5A2324B6,,,,,,,ODN0000177258,z,right_only
553D5380-815C-44F5-A572-4A1016FF0190,,,,,,,ODN0000177238,z,right_only
F435C4DC-EC16-4430-96FC-C148B35D7A88,,,,,,,ODN0000177260,z,right_only
1E6FBA85-55A5-4CFB-A91E-92F2B5657FBB,,,,,,,ODN0000492878,z,right_only
7E22ED7E-B5AA-4ED2-B3CF-4DA43AF9F90D,,,,,,,ODN0000353129,z,right_only
AFD5FA88-6407-493C-A8DE-F9C720F1BF62,,,,,,,ODN0000541867,z,right_only
4889E681-C47E-4D6D-B6B5-A40538DDBB91,,,,,,,ODN0000541932,z,right_only
CC844AF9-8B97-4670-A4B0-A91113A67173,,,,,,,ODN0000079695,z,right_only
C2300609-A694-4739-BF9B-21A2E457E891,,,,,,,ODN0000671331,z,right_only
2AB95DF4-1569-4083-9B02-305024E1DB00,,,,,,,ODN0000079110,z,right_only
C12640DE-F7DD-4AB1-8C3D-3BBC238EFCB6,,,,,,,ODN0000536367,z,right_only
758C6AFE-0C02-49C0-9C5C-56490292B4E2,,,,,,,ODN0000339443,z,right_only
91CF8F2D-A53A-4EC5-8E82-3075704D1ED4,,,,,,,ODN0000569875,z,right_only
8584AF44-00B3-409B-BE4A-1947B49203BC,,,,,,,ODN0000549910,z,right_only
F5B174A1-1B62-40D9-BF7D-B7471DD7AC05,,,,,,,ODN0000560598,z,right_only
5CB6EF53-E286-4168-A961-68D8E17A2A15,,,,,,,ODN0000505100,z,right_only
1F17944B-BD91-406D-9D5E-0E5EA07BDA53,,,,,,,ODN0000505128,z,right_only
ACB86783-0BBE-4059-8692-710FF18DDF7D,,,,,,,ODN0000505101,z,right_only
066265CB-7584-41E4-A472-BEDE025A7212,,,,,,,ODN0000625042,z,right_only
585F0EDE-C464-4958-AC0E-32DC3CC90DB5,,,,,,,ODN0000509302,z,right_only
38CA51DF-784A-4A56-BA28-221668DBC349,,,,,,,ODN0000517381,z,right_only
